Class: Fall 2026,,,,,,,
Student Name,Student ID,Project 1,Project 2,Project 3,Test 1,Test 2,Test 3
"Beard, Coach",LT1HIA,54,41,70,58,113,192
"Bumbercatch, Moe",5AEOPC,59,42,65,69,114,173
"Cartrick, George",I4K7HQ,61,60,76,66,108,192
"Cole, Cam",POSYK0,74,58,66,69,87,163
"Crimm, Trent",J7CUK9,74,75,73,62,111,197
"Fieldstone, Sharon",WDDGWZ,78,58,70,49,83,158
"Fordyce, Tom",XXTOGF,66,78,74,55,97,187
"Henry, Thierry",CS0BJS,57,71,80,69,86,170
"Hughes, Colin",LTUFMH,74,73,70,59,109,197
"Jones, Keeley",K2GWLK,67,79,75,54,117,192
"Kent, Roy",M1E1PS,74,65,57,53,115,170
"Lasso, Theodore",Y1H84R,60,44,77,69,99,184
"Lineker, Gary",P9KQK5,61,65,53,59,88,170
"Maas, Jan",V5Z27R,78,74,70,67,117,184
"Mannion, Rebecca",UYY1PW,50,57,69,49,97,160
"Mannion, Rupert",QLNW31,62,64,80,66,98,182
"Obisanya, Sam",UI3CZ3,62,53,58,47,86,189
"Payne, Jane",OB3NYL,78,51,55,46,121,161
"Powell, Chris",375CQ7,59,59,76,65,84,172
"Rojas, Danny",C2S3CO,73,60,63,74,98,180
"Shelley, Nate",GNAVGE,74,69,69,43,98,193
"Tartt, Jamie",CVYWFL,64,54,75,63,98,173
"Zoreaux, Thierry",OL6DY6,72,41,73,52,92,196
